GAME_ID,GAME_DATE,MATCHUP,TEAM_ID,TEAM_NAME,WL,MIN,PTS,FGM,FGA,PLUS_MINUS,margin
002254732,2025-05-25,BOS vs. MIA,1610612737,Boston Celtics,L,240,115,36,87,-12,-12
002255484,2025-09-09,BOS vs. MIA,1610612738,Boston Celtics,W,240,104,35,90,8,8
002299616,2025-07-16,BOS vs. MIA,1610612738,Boston Celtics,L,240,100,47,99,-25,-25
002278953,2025-12-18,BOS vs. MIA,1610612740,Boston Celtics,W,240,129,49,82,13,13
002230041,2024-12-17,BOS vs. MIA,1610612738,Boston Celtics,W,240,105,36,93,2,2
002290626,2024-03-19,BOS vs. MIA,1610612737,Boston Celtics,L,240,98,46,88,-3,-3
002223582,2024-10-08,BOS vs. MIA,1610612738,Boston Celtics,L,240,111,34,88,-5,-5
002285655,2025-10-29,BOS vs. MIA,1610612738,Boston Celtics,L,240,111,36,87,-16,-16
002227218,2024-05-29,BOS vs. MIA,1610612739,Boston Celtics,W,240,130,32,85,22,22
002295790,2024-10-14,BOS vs. MIA,1610612737,Boston Celtics,W,240,130,50,89,35,35
002214471,2024-03-22,BOS vs. MIA,1610612738,Boston Celtics,L,240,97,35,99,-14,-14
002288624,2025-07-01,BOS vs. MIA,1610612740,Boston Celtics,W,240,94,43,99,1,1
002284031,2024-06-20,BOS vs. MIA,1610612739,Boston Celtics,L,240,98,43,97,-32,-32
002285623,2025-10-25,BOS vs. MIA,1610612740,Boston Celtics,W,240,130,46,90,40,40
002275404,2024-07-12,BOS vs. MIA,1610612740,Boston Celtics,L,240,97,34,90,-23,-23
002274643,2025-02-07,BOS vs. MIA,1610612740,Boston Celtics,L,240,102,50,93,-25,-25
002277360,2024-06-27,BOS vs. MIA,1610612737,Boston Celtics,W,240,103,33,88,2,2
002266435,2025-11-10,BOS vs. MIA,1610612740,Boston Celtics,W,240,115,32,96,9,9
002210726,2024-09-14,BOS vs. MIA,1610612740,Boston Celtics,W,240,115,46,96,5,5
002286503,2024-12-19,BOS vs. MIA,1610612739,Boston Celtics,L,240,106,50,98,-2,-2
002259196,2025-11-25,BOS vs. MIA,1610612738,Boston Celtics,L,240,97,39,93,-21,-21
002246365,2024-09-27,BOS vs. MIA,1610612739,Boston Celtics,W,240,115,44,81,14,14
002214108,2026-01-19,BOS vs. MIA,1610612739,Boston Celtics,L,240,92,35,95,-19,-19
002249143,2024-05-04,BOS vs. MIA,1610612739,Boston Celtics,W,240,122,48,85,29,29
002260322,2024-08-02,BOS vs. MIA,1610612739,Boston Celtics,W,240,117,50,97,13,13
002255430,2025-04-07,BOS vs. MIA,1610612737,Boston Celtics,W,240,119,41,86,16,16
002254386,2024-06-06,BOS vs. MIA,1610612739,Boston Celtics,L,240,118,47,100,-11,-11
002252742,2024-07-24,BOS vs. MIA,1610612738,Boston Celtics,W,240,109,47,89,15,15
002283308,2025-12-13,BOS vs. MIA,1610612737,Boston Celtics,W,240,118,45,83,24,24
002279756,2024-05-31,BOS vs. MIA,1610612740,Boston Celtics,L,240,95,48,81,-27,-27
002272576,2026-01-20,BOS vs. MIA,1610612739,Boston Celtics,W,240,122,39,81,23,23
002237464,2024-07-12,BOS vs. MIA,1610612737,Boston Celtics,L,240,101,35,89,-9,-9
002287742,2025-09-11,BOS vs. MIA,1610612740,Boston Celtics,W,240,93,49,99,1,1
002288914,2024-06-21,BOS vs. MIA,1610612738,Boston Celtics,L,240,96,44,82,-24,-24
002232595,2024-10-10,BOS vs. MIA,1610612740,Boston Celtics,W,240,101,32,95,9,9
002274020,2025-01-30,BOS vs. MIA,1610612740,Boston Celtics,W,240,130,45,96,8,8
002260243,2025-02-10,BOS vs. MIA,1610612739,Boston Celtics,L,240,111,36,81,-12,-12
002211971,2024-06-18,BOS vs. MIA,1610612738,Boston Celtics,L,240,108,44,88,-9,-9
002222538,2024-05-25,BOS vs. MIA,1610612739,Boston Celtics,L,240,108,48,99,-7,-7
002229932,2025-02-14,BOS vs. MIA,1610612737,Boston Celtics,W,240,119,30,83,5,5
002237979,2025-06-15,BOS vs. MIA,1610612740,Boston Celtics,L,240,106,36,92,-19,-19
002254684,2024-04-07,BOS vs. MIA,1610612737,Boston Celtics,W,240,129,50,80,18,18
002252783,2025-09-21,BOS vs. MIA,1610612738,Boston Celtics,L,240,117,31,100,-8,-8
002279492,2026-01-03,BOS vs. MIA,1610612739,Boston Celtics,W,240,128,40,86,19,19
002264548,2025-04-16,BOS vs. MIA,1610612737,Boston Celtics,L,240,110,33,90,-7,-7
002218623,2025-01-28,BOS vs. MIA,1610612739,Boston Celtics,W,240,126,44,99,31,31
002276588,2024-11-21,BOS vs. MIA,1610612738,Boston Celtics,W,240,92,42,100,1,1
002265218,2024-05-13,BOS vs. MIA,1610612740,Boston Celtics,L,240,99,31,85,-6,-6
002259294,2025-02-09,BOS vs. MIA,1610612738,Boston Celtics,W,240,125,32,80,22,22
002253551,2025-07-22,BOS vs. MIA,1610612739,Boston Celtics,L,240,109,35,95,-15,-15
002243733,2024-11-22,BOS vs. MIA,1610612740,Boston Celtics,W,240,128,42,81,24,24
002238762,2024-07-17,BOS vs. MIA,1610612740,Boston Celtics,W,240,100,41,93,6,6
002231696,2024-09-25,BOS vs. MIA,1610612737,Boston Celtics,W,240,96,39,98,4,4
002231191,2025-07-31,BOS vs. MIA,1610612740,Boston Celtics,L,240,104,46,83,-6,-6
002284828,2025-01-14,BOS vs. MIA,1610612739,Boston Celtics,L,240,94,50,89,-16,-16
002278686,2025-07-03,BOS vs. MIA,1610612737,Boston Celtics,L,240,106,46,90,-24,-24
002215986,2025-10-04,BOS vs. MIA,1610612737,Boston Celtics,L,240,98,45,93,-29,-29
002241549,2025-10-31,BOS vs. MIA,1610612737,Boston Celtics,L,240,109,32,99,-7,-7
002220066,2024-06-28,BOS vs. MIA,1610612739,Boston Celtics,W,240,102,45,99,11,11
002264712,2026-01-05,BOS vs. MIA,1610612739,Boston Celtics,L,240,93,44,91,-20,-20
002263749,2025-04-13,BOS vs. MIA,1610612739,Boston Celtics,W,240,122,48,96,19,19
002293747,2024-12-06,BOS vs. MIA,1610612737,Boston Celtics,W,240,114,34,84,2,2
002254409,2025-05-10,BOS vs. MIA,1610612740,Boston Celtics,L,240,96,49,97,-20,-20
002274683,2024-05-08,BOS vs. MIA,1610612737,Boston Celtics,W,240,109,42,97,3,3
002274251,2024-08-01,BOS vs. MIA,1610612740,Boston Celtics,W,240,127,35,81,19,19
002284016,2025-12-26,BOS vs. MIA,1610612737,Boston Celtics,W,240,102,38,86,5,5
002224241,2025-05-11,BOS vs. MIA,1610612740,Boston Celtics,W,240,121,50,89,18,18
002274328,2024-03-19,BOS vs. MIA,1610612738,Boston Celtics,L,240,111,47,95,-1,-1
002217530,2024-08-31,BOS vs. MIA,1610612738,Boston Celtics,L,240,109,35,87,-20,-20
002266188,2025-03-26,BOS vs. MIA,1610612738,Boston Celtics,W,240,127,37,95,16,16
002267169,2024-04-07,BOS vs. MIA,1610612737,Boston Celtics,L,240,90,34,86,-18,-18
002246115,2026-01-01,BOS vs. MIA,1610612738,Boston Celtics,W,240,101,41,100,1,1
002242513,2026-01-20,BOS vs. MIA,1610612740,Boston Celtics,L,240,111,36,95,-19,-19
002210342,2026-01-10,BOS vs. MIA,1610612738,Boston Celtics,W,240,96,32,96,1,1
002215116,2024-07-21,BOS vs. MIA,1610612740,Boston Celtics,L,240,97,42,100,0,0
002242474,2024-04-25,BOS vs. MIA,1610612737,Boston Celtics,L,240,99,30,91,-4,-4
002248622,2024-12-15,BOS vs. MIA,1610612739,Boston Celtics,L,240,98,42,86,-18,-18
002258487,2024-07-15,BOS vs. MIA,1610612739,Boston Celtics,L,240,105,50,95,-25,-25
002258433,2025-06-24,BOS vs. MIA,1610612740,Boston Celtics,W,240,109,47,80,6,6
002274430,2024-05-04,BOS vs. MIA,1610612740,Boston Celtics,L,240,95,50,84,-21,-21
